Crop,Season,N,P,K,pH,Temp,Humidity,Rainfall,Yield_Tonnes_Per_Acre
Rice,Kharif,80,40,40,6.0,28,80,200,2.5
Rice,Rabi,80,40,40,6.0,22,60,50,1.8
Wheat,Rabi,120,60,40,6.5,15,50,100,2.0
Cotton,Kharif,100,50,50,7.0,30,60,150,1.2
Sugarcane,Whole Year,150,80,80,7.0,28,70,250,40.0
Tea,Whole Year,120,60,60,5.0,20,85,300,0.8
Soybean,Kharif,20,60,40,6.5,25,75,120,1.5
Soybean,Summer,20,60,40,6.5,32,50,80,1.0
Apples,Whole Year,50,30,50,6.2,12,65,150,15.0
Rubber,Whole Year,40,40,10,5.0,27,80,400,0.6
Cashew,Whole Year,40,20,20,6.0,26,70,180,0.5
Coconut,Whole Year,80,60,120,6.5,28,85,250,5.0
Vegetables,Summer,80,40,60,6.5,30,60,100,10.0
Vegetables,Kharif,80,40,60,6.5,26,80,200,12.0
Vegetables,Rabi,80,40,60,6.5,18,70,50,11.0
Fruits,Summer,60,30,30,6.5,32,55,100,8.0
Fruits,Kharif,60,30,30,6.5,28,75,180,9.0
Fruits,Rabi,60,30,30,6.5,20,65,80,7.5
Wheat,Whole Year,120,60,40,6.5,18,55,120,1.9
Rice,Whole Year,80,40,40,6.0,26,75,220,2.3
Cotton,Whole Year,100,50,50,7.0,28,65,160,1.1
